_id,station_number,stn_type,station_name_english,stn_name_heb,stn_long,stn_lat,isr_grid_X,isr_grid_Y,stn_hgt,date_open,date_close,stn_auto,stn_num_env,first_data_date,last_data_date,yearly_rain
13,850,4,HAIFA TECHNION,חיפה טכניון,35.0223,32.7736,202390,742120,245,1996-01-01T00:00:00,,1,43.0,1996-01,2024-05,0
49,2524,4,BET DAGAN RAD,בית דגן קרינה,34.8147,32.0079,182640,657260,31,1991-01-01T00:00:00,,1,85.0,1991-01,2024-05,0
50,2525,4,BET DAGAN RAD,בית דגן קרינה,34.8147,32.0079,182640,657260,31,1965-01-01T00:00:00,1990-12-31T00:00:00,1,85.0,1965-01,1990-12,0
89,3891,4,BESOR FARM,בשור חווה,34.3894,31.2716,141830,575830,110,1996-01-01T00:00:00,,1,58.0,2001-01,2024-05,0
171,7020,4,JERUSALEM GIVAT RAM,ירושלים גבעת רם,35.1973,31.7704,218770,630850,770,1990-01-01T00:00:00,,1,22.0,1990-01,2024-05,0
199,7822,4,ARAD,ערד,35.1855,31.25,217650,573140,564,1990-01-01T00:00:00,2010-10-31T00:00:00,1,29.0,1990-01,2010-10,0
200,7838,4,BEER SHEVA UNI,באר שבע אוניברסיטה,34.8047,31.2612,181000,574000,300,1982-01-01T00:00:00,1990-12-31T00:00:00,1,60.0,1982-01,1990-12,0
201,7839,4,BEER SHEVA UNI,באר שבע אוניברסיטה,34.8042,31.263,181330,574670,310,1991-01-01T00:00:00,,1,60.0,1991-01,2024-05,0
220,8209,4,SEDE BOQER UNI,שדה בוקר מדרשה,34.7826,30.8544,178140,529360,475,1996-01-01T00:00:00,2017-05-31T00:00:00,1,89.0,1998-01,2017-05,0
224,8213,4,MIZPE RAMON,מצפה רמון,34.7967,30.6125,180350,502540,865,1996-01-01T00:00:00,2007-12-31T00:00:00,1,265.0,1998-01,2007-12,0
278,9571,4,SEDOM,סדום,35.3919,31.0306,237320,548850,-388,1996-01-01T00:00:00,,1,65.0,1997-01,2014-10,0
294,9772,4,YOTVATA,יטבתה,35.0771,29.8851,207160,421850,70,1990-01-01T00:00:00,,1,36.0,1990-01,2024-05,0
299,9974,4,ELAT,אילת,34.952,29.5526,195000,385010,22,2000-01-01T00:00:00,,1,64.0,2000-01,2024-05,0
