station_number,station_name_english,stn_name_heb,first_data_date,last_data_date
110010,ROSH HA NIQRA POLICE,ראש הנקרה תחנה משטרה,1933-09,1948-05
110021,ROSH HANIQRA,ראש הנקרה,2007-09,2024-04
110050,KEFAR ROSH HANIQRA,כפר ראש הנקרה,1949-09,2024-04
110100,SHELOMI - EL-BASSA,שלומי - אל-בסה,1946-02,1947-05
110150,BEZET,בצת,1953-09,1967-05
110180,AKHZIV FIELD SCHOOL,"אכזיב בי""""ס שדה",1980-02,1992-01
110200,LIMAN,לימן,1952-09,2024-04
110220,KHIRBET MAWAT - KEZIV RIVER,חרבת מנות - נחל כזיב,1960-09,1977-05
110230,MANOT ANIMAL QUARANTINE,מנות תחנת הסגר,1933-09,1938-05
110250,MAZZUVA PLANTATION,מצובה - מטעים,1957-02,1959-05
110300,GESHER HAZIW,גשר הזיו,1949-09,1954-05
110301,GESHER HAZIW SCHOOL,"גשר הזיו בי""""ס",1956-09,1999-05
110330,KSIV PLAIN,מישור כזיב,1964-10,1973-05
110340,NAHARIYYA NORTH,נהרייה צפון,1962-09,1985-03
110350,SA'AR,סער,1946-09,1984-05
110351,SA'AR,סער,1984-10,2024-04
110390,NAHARIYYA RASKO,נהרייה שכונת רסקו,2000-01,2024-04
110400,NAHARIYYA,נהרייה,1938-09,1995-05
110450,NAHARIYYA HEBREW UNI.,נהרייה אוניברסיטה עברית,1941-09,1947-05
110500,EVRON,עברון,1946-09,2002-05
110501,EVRON,עברון,2002-09,2004-10
110502,EVRON,עברון,2004-11,2024-04
110520,SHAVE ZIYYON,שבי ציון,1963-01,2007-02
110521,SHAVE ZIYYON,שבי ציון,2009-09,2024-04
110550,REGBA,רגבה,1950-09,1984-05
110551,REGBA,רגבה,1984-10,1997-05
110552,REGBA,רגבה,1997-09,2024-04
110570,LOHAME HAGETA'OT,לוחמי הגיטאות,1960-09,1999-05
110600,BET HAEMEQ,בית העמק,1949-09,2024-04
110650,SHAMERAT,שמרת,1950-09,2005-05
110695,AKKO,עכו,1985-10,2024-04
110700,AKKO EXP FARM,עכו חוות נסיונות,1924-09,1986-05
110701,AKKO YAD NATAN SCHOOL,"עכו בי""""ס יד נתן",1964-10,1974-05
110702,AKKO YAD NATAN SCHOOL,"עכו בי""""ס יד נתן",1974-10,1976-01
110705,AKKO EXP. FARM,עכו חוות נסיונות,1967-10,1971-10
110706,AKKO FARM,עכו חוה אזורית,1977-02,1985-05
110800,ACRE FOREST DEP,עכו מחלקת ייעור,1940-09,1944-01
110850,MAKER,מכר,1954-09,1967-10
110870,JUDEIDE,ג'דיידה,1962-09,1965-03
110900,MISHMAR HAYAM,משמר הים,1941-09,1945-05
110950,EN HAMIFRAZ,עין המפרץ,1938-09,1945-05
110951,EN HAMIFRAZ,עין המפרץ,2010-09,2024-04
110970,YAS'UR,יסעור,1951-09,1974-05
110971,YAS'UR,יסעור,1974-09,1978-05
110972,YAS'UR,יסעור,1978-09,2004-05
110973,YAS'UR,יסעור,2004-09,2012-05
