_id,station_number,stn_type,station_name_english,stn_name_heb,stn_long,stn_lat,isr_grid_X,isr_grid_Y,stn_hgt,date_open,date_close,stn_auto,stn_num_env,first_data_date,last_data_date,yearly_rain
1,21,1,ROSH HANIQRA,ראש הנקרה,35.1079,33.0806,210430,776160,10,2003-09-01T00:00:00,,1,106,2003-09,2024-04,0
2,120,1,NAHARIYYA NORTH,נהרייה צפון,35.0963,33.0249,209350,769980,10,1962-10-01T00:00:00,1984-01-31T00:00:00,0,,1964-01,1983-12,0
3,190,1,SHAVE ZIYYON,שבי ציון,35.0923,32.9836,208980,765390,5,2009-10-01T00:00:00,,1,343,2009-10,2024-04,0
4,282,1,AKKO,עכו,35.102,32.9318,209870,759650,8,1986-01-01T00:00:00,2014-09-30T00:00:00,0,,1986-01,2003-12,0
6,301,1,AFEQ,אפק,35.1123,32.8466,210840,750200,10,2002-06-01T00:00:00,,1,78,2002-06,2024-04,0
7,415,1,HAIFA SHIQMONA,חיפה שקמונה,34.9567,32.8257,196250,747900,5,1978-08-01T00:00:00,1986-01-31T00:00:00,0,,1978-08,1983-12,0
8,550,1,HAIFA PORT,חיפה נמל,34.9977,32.8283,200090,748190,10,2000-01-01T00:00:00,2011-06-30T00:00:00,1,26,2000-01,2011-06,0
9,600,1,HAIFA REFINERIES,חיפה בתי זיקוק,35.0548,32.8034,205450,745420,5,1998-07-01T00:00:00,,1,41,1999-01,2024-04,0
10,630,1,QIRYAT ATTA,קרית אתא,35.1057,32.8051,210200,745600,35,1947-10-01T00:00:00,1971-06-30T00:00:00,0,,1964-01,1971-06,0
11,631,1,QIRYAT ATTA,קרית אתא,35.1057,32.8051,210200,745600,35,1971-07-01T00:00:00,1980-06-30T00:00:00,0,,1971-07,1980-06,0
12,850,1,HAIFA TECHNION,חיפה טכניון,35.0223,32.7736,202390,742120,245,1995-01-01T00:00:00,,1,43,1995-01,2024-04,0
14,860,1,CARMEL HAIFA UNIV,חיפה אוניברסיטה,35.0231,32.7584,202470,740440,450,1975-11-01T00:00:00,1982-06-30T00:00:00,0,,1975-11,1980-12,0
15,861,1,HAIFA UNIVERSITY,חיפה אוניברסיטה,35.0208,32.7611,202240,740730,475,2001-10-01T00:00:00,,1,42,2001-10,2024-04,0
16,910,1,YAGUR,יגור,35.0785,32.7402,207660,738410,25,1950-09-01T00:00:00,1975-04-30T00:00:00,0,,1964-01,1974-03,0
17,980,1,BET OREN,בית אורן,35.0075,32.7301,200990,737290,370,1959-11-01T00:00:00,1967-12-31T00:00:00,0,,1964-01,1967-05,0
19,1054,1,EN KARMEL,עין כרמל,34.9594,32.6808,196480,731830,25,1993-02-01T00:00:00,,1,44,1993-02,2024-04,0
20,1056,1,GEVA KARMEL,גבע כרמל,34.9551,32.6625,196100,729800,22,1966-04-01T00:00:00,1979-02-28T00:00:00,0,,1966-04,1979-02,0
22,1121,1,EN HASHOFET,עין השופט,35.0964,32.6028,209310,723170,265,1996-11-01T00:00:00,,1,67,1996-11,2024-04,0
23,1160,1,ZIKHRON YAAQOV,זכרון יעקב,34.9546,32.5724,195990,719810,175,1993-02-01T00:00:00,,1,45,1993-02,2024-04,0
24,1190,1,GALED (EVEN YIZHAQ),גלעד (אבן יצחק),35.0742,32.558,207220,718220,185,1961-10-01T00:00:00,2003-05-31T00:00:00,0,,1964-01,2003-05,0
